Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2013,5.4,78000,64000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,167000,29000
Delta,Aseer,Daihatsu,Manual,Saudi,Full,2014,3.7,100,35000
Civic,Jeddah,Honda,Automatic,Saudi,Standard,2017,1.5,200000,38000
Elantra,Al-Ahsa,Hyundai,Automatic,Gulf Arabic,Full,2017,1.6,136000,39000
VTC,Dammam,Nissan,Manual,Saudi,Standard,2014,4.0,207000,65000
Explorer,Qassim,Ford,Automatic,Saudi,Full,2015,2.0,40000,90000
Fusion,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,2.0,260000,30000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,251,35000
E,Jeddah,Mercedes,Automatic,Gulf Arabic,Semi Full,2018,2.0,250000,105000
Datsun,Taef,Nissan,Manual,Saudi,Full,2015,2.4,200000,35000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.6,214000,23500
Charger,Riyadh,Dodge,Automatic,Other,Full,2016,5.7,123000,109000
Acadia,Khobar,GMC,Automatic,Saudi,Standard,2011,3.6,187000,22000
Hilux,Jazan,Toyota,Manual,Saudi,Standard,2014,1.0,160,50000
Lancer,Riyadh,Mitsubishi,Automatic,Other,Standard,2009,1.6,222835,11500
Taurus,Riyadh,Ford,Automatic,Other,Full,2015,3.0,217000,49000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,53000,35000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2011,2.4,186000,25000
Avanza,Riyadh,Toyota,Automatic,Saudi,Standard,2016,1.6,160000,28000
H3,Riyadh,Hummer,Automatic,Other,Full,2006,3.5,236000,22000
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,153000,66000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,153889,68000
GS3,Riyadh,GAC,Automatic,Other,Full,2021,1.3,22600,50000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,50000,127000
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2015,2.4,77000,53000
The 3,Jeddah,BMW,Automatic,Saudi,Full,2014,2.0,84000,60000
Accord,Dammam,Honda,Automatic,Saudi,Standard,2017,2.4,104000,79000
Land Cruiser Pickup,Dammam,Toyota,Manual,Saudi,Full,2018,4.0,28000,147000
Hilux,Jubail,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,83000,76000
Land Cruiser,Taef,Toyota,Automatic,Saudi,Standard,2009,5.0,319,75000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,56536,47000
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,70000
Wrangler,Riyadh,Jeep,Manual,Gulf Arabic,Standard,2018,3.6,40000,115000
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,350000,60000
Yukon,Makkah,GMC,Automatic,Saudi,Standard,2012,5.3,65000,80000
6,Riyadh,Mazda,Automatic,Saudi,Standard,2019,2.5,71187,76500
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2017,4.6,31538,161500
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2013,3.6,177000,30000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,48500
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.5,109763,21500
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,52000
LS,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.6,27000,360000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2017,5.7,50000,245000
Land Cruiser,Khobar,Toyota,Automatic,Saudi,Semi Full,2003,4.5,397000,34000
Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,149000,149000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2019,2.7,28000,72500
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2009,1.6,480000,15000
CX9,Dammam,Mazda,Automatic,Saudi,Standard,2020,2.5,31200,110000
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2016,3.0,350000,41000
Taurus,Al-Ahsa,Ford,Automatic,Other,Semi Full,2019,3.5,108000,88000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,45000
Elantra,Jeddah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,51000,42000
Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2020,3.5,40000,100000
E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,110000
G80,Riyadh,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,119000
ML,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2002,3.2,297846,17000
Coupe,Dammam,Genesis,Automatic,Saudi,Full,2014,3.8,89000,65000
Ciocca,Makkah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,55000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.4,168000,29000
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.7,145997,64000
Cayenne S,Dammam,Porsche,Automatic,Saudi,Full,2014,3.0,118000,145000
Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,164000,110000
Cayenne Turbo,Riyadh,Porsche,Automatic,Other,Full,2008,4.8,152750,50000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2013,1.0,495,90000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2014,3.5,195000,46000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,26500
Marquis,Riyadh,Ford,Automatic,Other,Full,2010,5.0,270000,19000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,120346,257000
ES,Jeddah,Lexus,Automatic,Unknown,Full,2021,3.5,1300,175000
Rav4,Al-Ahsa,Toyota,Automatic,Other,Full,2018,2.7,56625,82500
Camry,Riyadh,Toyota,Manual,Saudi,Standard,2008,2.5,298000,20000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,322000,47500
Colorado,Dammam,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,28000
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,54000
Range Rover,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,36000,400000
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
C,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,54000,153000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2016,1.5,200000,20000
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,5.7,333000,78000
Suburban,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2004,5.3,111878,15000
Focus,Jeddah,Ford,Automatic,Unknown,Standard,2011,1.6,181000,10000
Optima,Dammam,Kia,Automatic,Saudi,Full,2016,2.4,161000,68000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,344506,30000
Furniture,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,110000
Yukon,Makkah,GMC,Automatic,Saudi,Full,2008,7.2,299000,30000
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,131000,67000
Attrage,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,15000,25000
RX,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,73000,110000
Marquis,Riyadh,Ford,Automatic,Other,Standard,2001,4.6,293,10000
E,Riyadh,Mercedes,Automatic,Saudi,Full,2021,2.0,7000,290000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,145000,95000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,25000
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,83000
3,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.0,74000,55000
Charger,Jeddah,Dodge,Automatic,Saudi,Full,2014,5.7,178,50000
Charger,Al-Medina,Dodge,Automatic,Saudi,Semi Full,2019,3.6,56000,108000
Land Cruiser,Najran,Toyota,Manual,Saudi,Semi Full,1988,4.0,195000,30000
C,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,73000,90000
3,Dammam,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,59000
Elantra,Aseer,Hyundai,Automatic,Saudi,Standard,2020,1.6,15800,58000
Vitara,Qassim,Suzuki,Manual,Saudi,Standard,2006,1.0,139000,12000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2014,4.0,25000,115000
Range Rover,Jeddah,Land Rover,Automatic,Saudi,Full,2014,5.0,97500,195000
Dyna,Dammam,Isuzu,Manual,Saudi,Standard,2013,7.0,300,82000
Kaptiva,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,1.9,50000,27000
C300,Dammam,Chrysler,Automatic,Saudi,Full,2013,1.0,220,42000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,342000,53000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,32000
Nativa,Hail,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,17000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.0,349266,100000
Dokker,Riyadh,Renault,Manual,Saudi,Standard,2016,1.5,122000,21500
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,2.4,110000,49000
C300,Riyadh,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,70000
CLS,Dammam,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,33000
E,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,66000,162000
Victoria,Yanbu,Ford,Automatic,Saudi,Standard,2011,4.6,128000,43000
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,151000
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Full,2011,5.3,282000,60000
Yaris,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,1.2,82000,34000
ML,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,237000,42000
Hilux,Dammam,Toyota,Manual,Saudi,Full,2009,2.7,400,32000
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,35000
S,Dammam,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,70000,290000
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,30799,45000
Victoria,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,16000
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,54000
6,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,31000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,48500
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,80000,142000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,57500
ES,Dammam,Lexus,Automatic,Other,Full,2016,3.5,50000,126000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
The 7,Dammam,BMW,Automatic,Saudi,Full,2016,2.0,134000,150000
Accent,Jeddah,Hyundai,Automatic,Saudi,Full,2017,1.6,140000,30000
Mustang,Riyadh,Ford,Automatic,Other,Full,2019,2.3,52000,139000
Yukon,Tabouk,GMC,Automatic,Saudi,Standard,2012,5.3,235000,67000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,147000,24000
LF X60,Jeddah,Lifan,Automatic,Saudi,Full,2016,1.6,128000,25000
Taurus,Riyadh,Ford,Automatic,Saudi,Full,2015,3.0,197000,58000
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
Ciocca,Jubail,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
The 3,Jeddah,BMW,Automatic,Saudi,Full,2011,2.5,74000,35000
S,Dammam,Mercedes,Automatic,Saudi,Standard,2016,3.0,60000,210000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2015,2.7,276,57000
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2003,1.6,230000,69000
C,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,99000,91500
FJ,Tabouk,Toyota,Automatic,Saudi,Full,2016,4.0,148,98000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2018,2.7,48000,90000
Rav4,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,60000
Marquis,Riyadh,Ford,Automatic,Other,Full,2008,4.6,171000,27000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.4,111,22000
Tucson,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.6,146000,75000
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2020,5.7,124000,250000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,105499,25000
Impala,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
A3,Riyadh,Audi,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
Aurion,Riyadh,Toyota,Automatic,Saudi,Full,2009,3.5,373000,33500
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2018,2.7,94458,91500
Victoria,Riyadh,Ford,Automatic,Saudi,Standard,2008,4.6,21000,13000
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2013,5.3,300000,45000
Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2021,2.4,29000,145000
Spark,Riyadh,Chevrolet,Automatic,Saudi,Standard,2020,1.4,16000,27000
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2019,3.5,43418,115000
Azera,Dammam,Hyundai,Automatic,Saudi,Semi Full,2019,3.5,44271,95000
C,Dammam,Mercedes,Automatic,Saudi,Full,2019,2.0,40000,210000
CX5,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2014,2.5,110000,41000
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2015,1.6,121913,29000
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,173544,37000
Accent,Taef,Hyundai,Automatic,Saudi,Full,2014,1.6,324000,20000
5,Riyadh,MG,Automatic,Saudi,Full,2020,1.5,23000,44000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,3.2,43000,236000
Datsun,Jazan,Nissan,Manual,Saudi,Full,2015,2.4,147000,45000
Camry,Riyadh,Toyota,Manual,Saudi,Standard,2007,2.5,192000,20000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,188000,53000
Furniture,Dammam,Toyota,Automatic,Saudi,Full,2015,4.0,26000,52000
Sierra,Riyadh,GMC,Automatic,Other,Standard,2015,5.3,145000,87500
Explorer,Khobar,Ford,Automatic,Saudi,Standard,2005,4.0,300000,7000
Marquis,Riyadh,Ford,Automatic,Other,Full,2008,9.0,115,17000
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2009,6.3,211000,40000
Hilux,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,2.7,90000,79000
Avanza,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,1.6,41000,45000
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2019,4.6,52000,248000
Koleos,Riyadh,Renault,Automatic,Saudi,Full,2017,2.5,103503,64000
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2017,3.5,81000,72000
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2018,2.4,130000,80000
Prado,Aseer,Toyota,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
Avalon,Riyadh,Toyota,Automatic,Saudi,Semi Full,2021,3.5,6500,140000
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2016,3.8,146000,63000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2007,4.5,315000,63000
Suburban,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,98000,140000
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,87000,70000
Hilux,Jeddah,Toyota,Automatic,Saudi,Full,2016,2.8,97000,91000
Marquis,Riyadh,Ford,Automatic,Other,Semi Full,2011,4.6,300000,22000
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2015,2.7,328000,65000
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,106000,66000
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
Odyssey,Riyadh,Honda,Automatic,Saudi,Semi Full,2016,3.5,185000,52000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,2.7,260000,65000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2016,3.5,137000,55000
Corolla,Jeddah,Toyota,Manual,Saudi,Standard,2010,1.5,318800,18000
F150,Dammam,Ford,Automatic,Saudi,Standard,2011,5.0,133000,33000
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2015,3.5,246398,85000
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,125000,245000
Senta fe,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2016,3.3,157000,69000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.4,19717,41500
ES,Hail,Lexus,Automatic,Gulf Arabic,Semi Full,2015,3.5,161000,74000
Tucson,Jeddah,Hyundai,Automatic,Other,Semi Full,2016,2.4,119800,57000
ES,Al-Ahsa,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,99000,129000
Yaris,Makkah,Toyota,Automatic,Saudi,Standard,2017,1.3,100000,27000
Senta fe,Al-Namas,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,126000,42000
Sierra,Riyadh,GMC,Automatic,Gulf Arabic,Full,2020,5.3,32000,158000
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2016,4.0,184000,100000
Datsun,Tabouk,Nissan,Manual,Saudi,Full,2015,1.1,215267,31000
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.6,97000,38500
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,220424,62000
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,140000,55000
Abeka,Taef,Chevrolet,Automatic,Saudi,Full,2008,1.8,260,14000
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2011,1.0,600000,36000
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,134007,70000
GS,Dammam,MG,Automatic,Saudi,Full,2016,1.5,139000,42000
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,40000,59000
Navara,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,145000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,1700,498000
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.7,275916,67000
Navara,Jeddah,Nissan,Manual,Saudi,Full,2015,2.5,83000,45000
IS,Jeddah,Lexus,Automatic,Saudi,Full,2005,3.5,400000,50000
6,Dammam,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,50000
Ciocca,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,5.7,114000,89000
Furniture,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
Other,Jeddah,Other,Manual,Other,Semi Full,2021,1.2,3000,5500
Expedition,Al-Ahsa,Ford,Manual,Saudi,Full,2012,4.8,304,38000
Sierra,Khobar,GMC,Automatic,Saudi,Full,2021,5.3,2000,190000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,106787,48500
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
Grand Marquis,Riyadh,Mercury,Automatic,Other,Full,2007,4.6,570000,24000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
Rav4,Makkah,Toyota,Automatic,Saudi,Full,2018,1.8,63000,90000
Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2016,2.4,230000,45000
Accord,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
Furniture,Riyadh,Toyota,Manual,Saudi,Semi Full,2015,4.0,70346,80500
The 5,Jeddah,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,1.6,186000,27000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,2.7,5000,153000
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,77000,28500
Camry,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2016,3.0,230000,50000
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,5.6,50000,150000
Flying Spur,Dammam,Bentley,Automatic,Saudi,Full,2010,5.0,58000,175000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,45000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,48000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2015,5.7,119000,180000
Prado,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,78000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
C,Dammam,Mercedes,Automatic,Other,Full,2019,2.0,15000,175000
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,105558,76500
Pilot,Riyadh,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,30000
Charger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,101000,95000
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,209500,56000
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,172600,35000
Ranger,Aseer,Ford,Manual,Saudi,Full,2015,3.2,145000,65000
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,86500,98000
Escalade,Dammam,Cadillac,Automatic,Other,Full,2016,6.2,119000,178000
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2005,4.0,340000,35000
CX5,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.0,26000,112000
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
A7,Makkah,Audi,Automatic,Saudi,Full,2017,2.0,127000,135000
Altima,Qassim,Nissan,Automatic,Gulf Arabic,Full,2015,2.5,119500,47000
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2016,2.5,115000,50000
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,20000,130000
Cadenza,Makkah,Kia,Automatic,Gulf Arabic,Full,2011,3.3,334624,27500
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2015,3.0,71500,265000
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
Accord,Riyadh,Honda,Automatic,Saudi,Standard,2018,1.5,129000,68000
X,Dammam,BMW,Automatic,Gulf Arabic,Semi Full,2017,3.0,71000,170000
Avalon,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,3.5,167,51000
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53700,320000
F150,Qassim,Ford,Automatic,Gulf Arabic,Full,2018,5.0,59790,135000
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2014,6.0,35481,106500
Charger,Dammam,Dodge,Automatic,Other,Full,2015,5.7,119000,105000
Quattroporte,Dammam,Maserati,Automatic,Gulf Arabic,Full,2014,3.8,115000,125000
Malibu,Abha,Chevrolet,Automatic,Saudi,Semi Full,2013,2.4,233000,20000
Other,Jeddah,Honda,Manual,Saudi,Standard,2011,1.0,4200,6500
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,2.7,37000,107000
Range Rover,Jeddah,Land Rover,Automatic,Gulf Arabic,Full,2016,3.5,122000,176000
Yaris,Al-Ahsa,Toyota,Automatic,Saudi,Standard,2019,1.5,36000,43000
FJ,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,6.0,50000,140000
Hilux,Aseer,Toyota,Manual,Saudi,Full,1995,2.4,300,15000
Cerato,Khobar,Kia,Automatic,Saudi,Standard,2016,1.6,62000,29750
ES,Dammam,Lexus,Automatic,Other,Full,2017,3.0,69000,142000
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2016,5.7,134000,90000
Hilux,Al-Medina,Toyota,Manual,Saudi,Semi Full,2014,2.7,309000,45000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,287928,58000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,55000,60000
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.7,236000,75000
Compass,Riyadh,Jeep,Automatic,Saudi,Semi Full,2019,2.4,43834,66000
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2003,5.3,45000,18000
Dyna,Qassim,Isuzu,Manual,Gulf Arabic,Full,2014,6.0,460000,120000
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2019,2.4,33000,85000
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2019,3.5,38000,375000
Ranger,Riyadh,Ford,Manual,Saudi,Full,2011,2.5,168000,24000
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,131000,74000
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2006,2.5,498000,18000
Cadenza,Jeddah,Kia,Automatic,Saudi,Standard,2020,3.5,5000,108000
Hilux,Wadi Dawasir,Toyota,Automatic,Saudi,Full,2020,2.4,30000,147000
Vego,Jeddah,Ford,Automatic,Saudi,Standard,2019,1.5,47856,27500
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,53000
Viano,Al-Medina,Mercedes,Automatic,Saudi,Full,2015,3.5,119000,99000
Accord,Jeddah,Honda,Automatic,Other,Full,2010,2.4,205,30000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,100000,115000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,28500
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2020,4.0,56000,225000
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,84000
Bus Urvan,Dammam,Nissan,Manual,Gulf Arabic,Full,2010,2.7,2012,14500
