Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,348000,False,50000
Land Cruiser Pickup,Qassim,Toyota,Manual,Gulf Arabic,Standard,2017,4.0,25471,False,122000
Patrol,Qassim,Nissan,Automatic,Saudi,Full,1997,4.0,200000,False,17000
G,Riyadh,Mercedes,Automatic,Saudi,Full,2014,5.5,125000,False,245000
Patrol,Makkah,Nissan,Automatic,Saudi,Full,2006,1.0,200000,True,0
Elantra,Taef,Hyundai,Automatic,Saudi,Standard,2015,1.6,227000,False,28000
GS,Riyadh,Lexus,Automatic,Saudi,Full,2014,3.5,124000,False,136000
Other,Dammam,Hyundai,Automatic,Other,Full,2011,4.6,270,False,30000
Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2016,3.5,84000,True,0
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2011,4.5,193000,False,110000
C300,Al-Ahsa,Chrysler,Automatic,Other,Semi Full,2017,3.6,77000,False,82000
Accord,Jeddah,Honda,Automatic,Saudi,Full,2017,3.5,25400,False,90000
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2017,3.6,124,False,100000
Yukon,Hail,GMC,Automatic,Saudi,Full,2011,5.3,333000,True,0
Flex,Al-Jouf,Ford,Automatic,Saudi,Full,2015,6.0,134800,True,0
FJ,Riyadh,Toyota,Automatic,Saudi,Standard,2020,4.0,87700,False,117000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.5,179000,False,76000
F150,Khobar,Ford,Automatic,Saudi,Semi Full,2014,5.0,169000,True,0
X,Riyadh,BMW,Automatic,Other,Standard,2020,3.0,20000,False,257000
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2020,2.5,16500,False,86900
Other,Qassim,Other,Manual,Other,Full,2019,8.0,24643,False,330000
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Full,2017,5.4,34000,False,108000
Armada,Riyadh,Nissan,Automatic,Saudi,Full,2014,5.6,284686,True,0
6,Dammam,Mazda,Automatic,Other,Semi Full,2016,2.5,198,True,0
Suburban,Al-Medina,GMC,Automatic,Saudi,Semi Full,2005,5.3,260000,False,20000
Camry,Arar,Toyota,Automatic,Saudi,Standard,2007,1.1,100000,False,22000
Datsun,Al-Medina,Nissan,Manual,Unknown,Full,2016,2.4,193000,True,0
Lancer,Hail,Mitsubishi,Automatic,Saudi,Standard,2016,1.6,120000,True,0
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,88000,False,37000
Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2012,1.0,172000,True,0
A8,Riyadh,Audi,Automatic,Saudi,Full,2015,5.0,56000,True,0
6,Al-Ahsa,Mazda,Automatic,Saudi,Standard,2006,2.5,256000,False,13000
Tahoe,Jeddah,Chevrolet,Automatic,Other,Full,2007,5.3,128,False,35000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,178000,False,55000
Montero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2017,3.3,199000,False,73000
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2018,5.3,126000,False,111000
Yukon,Dammam,GMC,Automatic,Saudi,Semi Full,2002,5.3,297000,True,0
300,Riyadh,Chrysler,Automatic,Other,Semi Full,2017,3.6,108828,False,94000
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,147000,True,0
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,176000,True,0
Explorer,Riyadh,Ford,Automatic,Saudi,Full,2013,3.5,14606,False,83500
Azera,Sakaka,Hyundai,Automatic,Saudi,Standard,2021,3.5,11000,False,120000
Sportage,Riyadh,Kia,Automatic,Saudi,Standard,2018,2.4,93000,False,54000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2014,3.8,271943,False,46500
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2015,2.5,247000,False,55000
POS24,Aseer,Mercedes,Manual,Other,Full,1983,8.0,9999999,True,0
A3,Jeddah,Audi,Automatic,Saudi,Full,2016,1.4,59000,False,70000
Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2017,3.5,60314,True,0
Dyna,Riyadh,Isuzu,Manual,Saudi,Standard,2003,8.5,330,False,40000
Touareg,Qassim,Volkswagen,Automatic,Saudi,Semi Full,2015,4.0,183000,False,69000
Charger,Dammam,Dodge,Automatic,Saudi,Full,2019,3.6,48000,False,85000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,120244,False,43000
Charger,Al-Medina,Dodge,Automatic,Saudi,Full,2018,5.7,15000,True,0
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,320000,False,55000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.3,132560,True,0
ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2021,2.5,3000,False,177000
Silverado,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2013,8.0,197000,True,0
Elantra,Dammam,Hyundai,Automatic,Gulf Arabic,Semi Full,2020,2.0,10000,False,63000
Mustang,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,2.3,157000,False,80000
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.8,17000,True,0
Cruze,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2016,1.8,52000,False,45000
Explorer,Riyadh,Ford,Automatic,Other,Semi Full,2006,3.5,405000,False,18000
Rio,Jubail,Kia,Automatic,Saudi,Standard,2013,1.6,300000,False,19000
Passat,Riyadh,Volkswagen,Automatic,Saudi,Full,2014,2.5,239,True,0
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2017,2.5,48004,False,55000
Kaptiva,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2021,1.5,18750,True,0
Rio,Dammam,Kia,Automatic,Saudi,Standard,2016,1.4,188000,False,21000
Furniture,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2015,2.7,300,False,52000
Expedition,Al-Ahsa,Ford,Automatic,Saudi,Full,2012,5.4,289000,False,57000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.5,247,False,55000
Sonata,Al-Medina,Hyundai,Automatic,Saudi,Standard,2019,2.4,87000,True,0
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2016,3.6,118000,False,48000
Camry,Qassim,Toyota,Automatic,Saudi,Full,2016,2.5,155000,False,52000
Sonata,Dammam,Hyundai,Automatic,Saudi,Standard,2018,2.4,10000,True,0
Other,Al-Medina,Other,Manual,Other,Standard,2009,2.4,1300,False,26000
Yukon,Jeddah,GMC,Automatic,Other,Full,2016,5.3,250000,True,0
Spark,Riyadh,Chevrolet,Automatic,Other,Standard,2017,1.4,88739,True,0
Fusion,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,2.5,200000,True,0
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2019,1.5,49000,False,95000
Sportage,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2018,2.4,77000,False,58000
The 7,Jeddah,BMW,Automatic,Gulf Arabic,Standard,2014,2.0,182,True,0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2013,5.5,184000,False,36000
Marquis,Al-Medina,Ford,Automatic,Other,Full,2010,4.6,360,False,29000
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2019,2.7,80000,False,120000
Passat,Jeddah,Volkswagen,Automatic,Other,Full,2015,2.5,70000,False,73000
Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,1994,4.6,600000,False,25000
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2016,5.3,222000,True,0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,67000,False,32000
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,200000,True,0
The 7,Riyadh,BMW,Automatic,Saudi,Full,2004,3.6,297000,False,11500
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,319000,False,46000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2018,4.6,141197,False,195000
Passat,Jeddah,Volkswagen,Automatic,Saudi,Standard,2016,2.5,49000,False,49000
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2013,5.4,78000,False,64000
CS95,Hail,Changan,Automatic,Saudi,Full,2021,2.0,31000,True,0
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,167000,False,29000
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2015,5.3,137000,True,0
Delta,Aseer,Daihatsu,Manual,Saudi,Full,2014,3.7,100,False,35000
Civic,Jeddah,Honda,Automatic,Saudi,Standard,2017,1.5,200000,False,38000
Elantra,Al-Ahsa,Hyundai,Automatic,Gulf Arabic,Full,2017,1.6,136000,False,39000
Charger,Jeddah,Dodge,Automatic,Saudi,Semi Full,2020,3.6,38000,True,0
Sentra,Riyadh,Nissan,Manual,Saudi,Standard,2019,1.6,90000,True,0
VTC,Dammam,Nissan,Manual,Saudi,Standard,2014,4.0,207000,False,65000
G,Jeddah,INFINITI,Automatic,Gulf Arabic,Full,2007,6.0,210000,True,0
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,125000,True,0
Explorer,Qassim,Ford,Automatic,Saudi,Full,2015,2.0,40000,False,90000
Tahoe,Al-Jouf,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,4691232,True,0
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2011,4.0,300,True,0
Fusion,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,2.0,260000,False,30000
EC7,Riyadh,Geely,Manual,Saudi,Full,2014,1.4,190000,True,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,251,False,35000
E,Jeddah,Mercedes,Automatic,Gulf Arabic,Semi Full,2018,2.0,250000,False,105000
Datsun,Taef,Nissan,Manual,Saudi,Full,2015,2.4,200000,False,35000
Land Cruiser Pickup,Al-Medina,Toyota,Manual,Saudi,Semi Full,2016,4.8,198000,True,0
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2009,3.5,215000,True,0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.6,214000,False,23500
Charger,Riyadh,Dodge,Automatic,Other,Full,2016,5.7,123000,False,109000
Sonata,Qassim,Hyundai,Automatic,Saudi,Standard,2018,2.2,184,True,0
Acadia,Khobar,GMC,Automatic,Saudi,Standard,2011,3.6,187000,False,22000
Land Cruiser,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.6,260000,True,0
Hilux,Jazan,Toyota,Manual,Saudi,Standard,2014,1.0,160,False,50000
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2015,2.0,300,True,0
Lancer,Riyadh,Mitsubishi,Automatic,Other,Standard,2009,1.6,222835,False,11500
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,34000,True,0
Taurus,Riyadh,Ford,Automatic,Other,Full,2015,3.0,217000,False,49000
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,6.0,186000,True,0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,53000,False,35000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2011,2.4,186000,False,25000
Avanza,Riyadh,Toyota,Automatic,Saudi,Standard,2016,1.6,160000,False,28000
H3,Riyadh,Hummer,Automatic,Other,Full,2006,3.5,236000,False,22000
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,153000,False,66000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,153889,False,68000
RX5,Riyadh,MG,Automatic,Saudi,Full,2019,2.0,49000,True,0
GS3,Riyadh,GAC,Automatic,Other,Full,2021,1.3,22600,False,50000
Hilux,Khobar,Toyota,Manual,Gulf Arabic,Full,2013,2.7,152000,True,0
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,111000,True,0
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,50000,False,127000
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2015,2.4,77000,False,53000
The 3,Jeddah,BMW,Automatic,Saudi,Full,2014,2.0,84000,False,60000
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2020,2.0,22000,True,0
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,180700,True,0
Accord,Dammam,Honda,Automatic,Saudi,Standard,2017,2.4,104000,False,79000
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2018,2.7,243300,True,0
Land Cruiser Pickup,Dammam,Toyota,Manual,Saudi,Full,2018,4.0,28000,False,147000
Hilux,Jubail,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,83000,False,76000
Land Cruiser,Taef,Toyota,Automatic,Saudi,Standard,2009,5.0,319,False,75000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,56536,False,47000
Navara,Abha,Nissan,Manual,Other,Semi Full,2013,2.5,300,True,0
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,231000,True,0
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,False,70000
Wrangler,Riyadh,Jeep,Manual,Gulf Arabic,Standard,2018,3.6,40000,False,115000
Accord,Jeddah,Honda,Automatic,Saudi,Full,2019,2.5,19000,True,0
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,350000,False,60000
Yukon,Makkah,GMC,Automatic,Saudi,Standard,2012,5.3,65000,False,80000
6,Riyadh,Mazda,Automatic,Saudi,Standard,2019,2.5,71187,False,76500
Prado,Makkah,Toyota,Manual,Saudi,Semi Full,2006,4.0,2800000,False,35000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2017,4.6,31538,False,161500
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2013,3.6,177000,False,30000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2021,5.7,3500,True,0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,False,48500
Prado,Qassim,Toyota,Automatic,Saudi,Semi Full,2014,1.8,287,True,0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.5,109763,False,21500
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,False,52000
LS,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.6,27000,False,360000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2017,5.7,50000,False,245000
Land Cruiser,Khobar,Toyota,Automatic,Saudi,Semi Full,2003,4.5,397000,False,34000
Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,149000,False,149000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2019,2.7,28000,False,72500
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2009,1.6,480000,False,15000
CX9,Dammam,Mazda,Automatic,Saudi,Standard,2020,2.5,31200,False,110000
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2016,3.0,350000,False,41000
Taurus,Al-Ahsa,Ford,Automatic,Other,Semi Full,2019,3.5,108000,False,88000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,False,45000
Elantra,Jeddah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,51000,False,42000
Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2020,3.5,40000,False,100000
E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,False,110000
G80,Riyadh,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,False,119000
ML,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2002,3.2,297846,False,17000
Coupe,Dammam,Genesis,Automatic,Saudi,Full,2014,3.8,89000,False,65000
Ciocca,Makkah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,False,55000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.4,168000,False,29000
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.7,145997,False,64000
Victoria,Besha,Ford,Automatic,Saudi,Full,2004,4.6,260,True,0
Cayenne S,Dammam,Porsche,Automatic,Saudi,Full,2014,3.0,118000,False,145000
New Yorker,Riyadh,Chrysler,Automatic,Other,Full,1978,6.6,52000,True,0
Azera,Dammam,Hyundai,Automatic,Saudi,Standard,2018,3.0,86000,True,0
Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,164000,False,110000
Cayenne Turbo,Riyadh,Porsche,Automatic,Other,Full,2008,4.8,152750,False,50000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2013,1.0,495,False,90000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,False,35000
Taurus,Taef,Ford,Automatic,Saudi,Semi Full,2014,6.0,265,True,0
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2014,3.5,195000,False,46000
Explorer,Aseer,Ford,Automatic,Saudi,Full,2007,4.5,300000,True,0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,False,26500
Marquis,Riyadh,Ford,Automatic,Other,Full,2010,5.0,270000,False,19000
K5,Jazan,Kia,Automatic,Saudi,Semi Full,2021,2.5,7000,True,0
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,120346,False,257000
ES,Jeddah,Lexus,Automatic,Unknown,Full,2021,3.5,1300,False,175000
Rav4,Al-Ahsa,Toyota,Automatic,Other,Full,2018,2.7,56625,False,82500
Camry,Riyadh,Toyota,Manual,Saudi,Standard,2008,2.5,298000,False,20000
LX,Taef,Lexus,Automatic,Other,Full,2014,5.7,305,True,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,322000,False,47500
Charger,Qassim,Dodge,Automatic,Saudi,Full,2018,3.2,99000,True,0
Colorado,Dammam,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,False,28000
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,False,54000
Hilux,Sabya,Toyota,Manual,Saudi,Full,2002,2.7,100,True,0
Range Rover,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,36000,False,400000
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,157000,False,60000
C,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,54000,False,153000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2016,1.5,200000,False,20000
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,5.7,333000,False,78000
Suburban,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2004,5.3,111878,False,15000
Patrol,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,4.0,100,True,0
Focus,Jeddah,Ford,Automatic,Unknown,Standard,2011,1.6,181000,False,10000
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Full,2003,5.3,10000,True,0
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,1.5,287000,True,0
Optima,Dammam,Kia,Automatic,Saudi,Full,2016,2.4,161000,False,68000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,344506,False,30000
Furniture,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,False,110000
Yukon,Al-Medina,GMC,Automatic,Saudi,Semi Full,2011,5.3,366,True,0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.6,45000,True,0
Yukon,Makkah,GMC,Automatic,Saudi,Full,2008,7.2,299000,False,30000
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,131000,False,67000
Attrage,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,15000,False,25000
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2021,3.5,6174,True,0
Charger,Qassim,Dodge,Automatic,Saudi,Semi Full,2017,3.6,88000,True,0
RX,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,73000,False,110000
Hilux,Jeddah,Toyota,Manual,Saudi,Standard,1997,2.7,1000000,True,0
Marquis,Riyadh,Ford,Automatic,Other,Standard,2001,4.6,293,False,10000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.0,194000,True,0
E,Riyadh,Mercedes,Automatic,Saudi,Full,2021,2.0,7000,False,290000
X,Riyadh,BMW,Automatic,Saudi,Full,2018,2.0,47000,True,0
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,145000,False,95000
Trailblazer,Jeddah,Chevrolet,Automatic,Other,Full,2004,5.3,3500000,False,10000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,False,25000
Altima,Al-Ahsa,Nissan,Automatic,Saudi,Full,2010,2.5,236660,True,0
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,False,83000
3,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.0,74000,False,55000
Charger,Jeddah,Dodge,Automatic,Saudi,Full,2014,5.7,178,False,50000
Charger,Al-Medina,Dodge,Automatic,Saudi,Semi Full,2019,3.6,56000,False,108000
Land Cruiser,Najran,Toyota,Manual,Saudi,Semi Full,1988,4.0,195000,False,30000
C,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,73000,False,90000
3,Dammam,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,False,59000
Elantra,Aseer,Hyundai,Automatic,Saudi,Standard,2020,1.6,15800,False,58000
Corolla,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2020,1.6,66796,False,1872
Vitara,Qassim,Suzuki,Manual,Saudi,Standard,2006,1.0,139000,False,12000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2014,4.0,25000,False,115000
Land Cruiser,Aseer,Toyota,Manual,Saudi,Semi Full,1997,4.6,400000,True,0
Land Cruiser Pickup,Hail,Toyota,Manual,Saudi,Full,2001,4.5,420,True,0
Range Rover,Jeddah,Land Rover,Automatic,Saudi,Full,2014,5.0,97500,False,195000
Dyna,Dammam,Isuzu,Manual,Saudi,Standard,2013,7.0,300,False,82000
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Full,2013,3.5,185000,True,0
Kaptiva,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,1.9,50000,False,27000
C300,Dammam,Chrysler,Automatic,Saudi,Full,2013,1.0,220,False,42000
Edge,Dammam,Ford,Automatic,Saudi,Full,2007,3.5,270000,True,0
ES,Jeddah,Lexus,Automatic,Saudi,Full,2013,3.5,326000,True,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,161000,True,0
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2019,2.7,83000,True,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,342000,False,53000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,False,32000
Nativa,Hail,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,False,17000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.0,349266,False,100000
Dokker,Riyadh,Renault,Manual,Saudi,Standard,2016,1.5,122000,False,21500
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,2.4,110000,False,49000
C300,Riyadh,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,False,70000
CLS,Dammam,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,False,33000
S,Riyadh,Mercedes,Automatic,Saudi,Full,2006,3.5,290000,True,0
E,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,66000,False,162000
Victoria,Yanbu,Ford,Automatic,Saudi,Standard,2011,4.6,128000,False,43000
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,False,151000
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Full,2011,5.3,282000,False,60000
Yaris,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,1.2,82000,False,34000
ES,Besha,Lexus,Automatic,Other,Full,2013,3.5,180,True,0
ML,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,False,120000
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,440000,True,0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,237000,False,42000
Hilux,Dammam,Toyota,Manual,Saudi,Full,2009,2.7,400,False,32000
Explorer,Taef,Ford,Automatic,Saudi,Semi Full,2010,4.0,246000,True,0
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,False,35000
Furniture,Al-Medina,Toyota,Automatic,Saudi,Standard,2015,2.7,221000,True,0
S,Dammam,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,70000,False,290000
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,30799,False,45000
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2015,4.0,175000,True,0
Victoria,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,False,16000
CX5,Riyadh,Mazda,Automatic,Saudi,Full,2020,2.5,35000,True,0
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,False,54000
6,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,False,31000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,False,48500
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,80000,False,142000
Altima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2020,2.5,18000,True,0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,False,57500
QX,Khobar,INFINITI,Automatic,Saudi,Full,2014,3.7,160000,True,0
ES,Dammam,Lexus,Automatic,Other,Full,2016,3.5,50000,False,126000
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2013,5.7,210000,True,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,False,30000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,94000,True,0
Van,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,33000,True,0
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,False,125000
The 7,Dammam,BMW,Automatic,Saudi,Full,2016,2.0,134000,False,150000
Accent,Jeddah,Hyundai,Automatic,Saudi,Full,2017,1.6,140000,False,30000
Seven,Jeddah,Changan,Automatic,Saudi,Standard,2022,1.1,2500,True,0
Mustang,Riyadh,Ford,Automatic,Other,Full,2019,2.3,52000,False,139000
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2016,2.5,267000,True,0
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2003,2.7,100,True,0
Yukon,Tabouk,GMC,Automatic,Saudi,Standard,2012,5.3,235000,False,67000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,147000,False,24000
Other,Al-Ahsa,Suzuki,Manual,Other,Full,2014,1.0,25000,True,0
LF X60,Jeddah,Lifan,Automatic,Saudi,Full,2016,1.6,128000,False,25000
LS,Jeddah,Lexus,Automatic,Saudi,Full,2014,4.6,22400,True,0
Taurus,Riyadh,Ford,Automatic,Saudi,Full,2015,3.0,197000,False,58000
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,False,30000
Ciocca,Jubail,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,False,65000
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2002,1.5,500000,True,0
